time, Quad.IMU.AX
6.304726,-0.042685
6.309725,-0.270116
6.314725,0.532949
6.319725,-0.443444
6.324724,0.794102
6.329724,-0.070643
6.334723,-0.642293
6.339723,0.294766
6.344723,-0.940398
6.349722,0.004214
6.354722,-0.130343
6.359722,-0.758171
6.364721,-0.531023
6.369721,-0.217092
6.374721,0.062422
6.379720,-0.218617
6.384720,-0.845129
6.389719,1.044111
6.394719,0.009706
6.399719,0.041373
6.404718,-0.346125
6.409718,0.048577
6.414718,0.310618
6.419717,-0.177421
6.424717,0.043098
6.429717,0.004449
6.434716,-0.173788
6.439716,-0.066783
6.444715,0.135498
6.449715,0.031087
6.454715,-0.587011
6.459714,-0.086332
6.464714,-0.494337
6.469714,0.023615
6.474713,0.995952
6.479713,0.079036
6.484713,-0.143578
6.489712,0.581767
6.494712,-0.483910
6.499712,-0.150417
6.504711,0.286838
6.509711,0.097243
6.514710,0.253841
6.519710,-0.530840
6.524710,0.160927
6.529709,1.000257
6.534709,0.432217
6.539709,0.057924
6.544708,-0.196636
6.549708,0.207976
6.554708,0.500012
6.559707,-0.126745
6.564707,0.206609
6.569706,-0.486147
6.574706,0.485803
